precision,recall,threshold
0.025895377469920523,1.0,0.00023635176000737608
0.02589563668031351,1.0,0.00023670209536665875
0.025895895895895894,1.0,0.0002372587026476267
0.025896155116667836,1.0,0.00023773491979501
0.025896673573780993,1.0,0.00024172814897532706
0.02589693281012253,1.0,0.00024200214309295828
0.025897192051654236,1.0,0.00024201999443868182
0.02589745129837628,1.0,0.0002455263239034471
0.02589771055028881,1.0,0.00024749118474098517
0.025897969807391983,1.0,0.0002478975617419694
0.025898229069685957,1.0,0.0002485912205537253
0.02589848833717089,1.0,0.0002485924557266058
0.02589874760984693,1.0,0.00024914460253926937
0.02589900688771424,1.0,0.000249624750891171
0.025899266170772973,1.0,0.0002504872084672368
0.025899525459023288,1.0,0.0002515168593061173
0.025899784752465335,1.0,0.00025189433858746466
0.025900044051099275,1.0,0.00025204778328432887
0.025900303354925262,1.0,0.00025296074195625505
0.025900562663943454,1.0,0.0002546143566285743
0.025900821978154003,1.0,0.00025577398626859586
0.02590108129755707,1.0,0.00025608458608299774
0.025901340622152803,1.0,0.0002563453274048561
0.025901599951941367,1.0,0.0002569474622774701
0.02590237797246558,1.0,0.000257062066482378
0.025902637323027014,1.0,0.00025735861760158404
0.025902896678782053,1.0,0.00025742583010010853
0.025903156039730854,1.0,0.0002590730301568728
0.025903415405873577,1.0,0.00025940585691522805
0.025903674777210374,1.0,0.00026049539187197255
0.0259039341537414,1.0,0.00026227524293950073
0.025904452922386776,1.0,0.0002627172633482319
0.02590471231450143,1.0,0.00026272871740188144
0.025904971711810946,1.0,0.00026410779417864876
0.025905231114315468,1.0,0.00026504322026330376
0.02590549052201516,1.0,0.0002663402115314451
0.025905749934910176,1.0,0.00026665302635958286
0.02590600935300067,1.0,0.0002671642168846528
0.025906528204768724,1.0,0.0002690564773332956
0.025906787638446595,1.0,0.0002699885903822184
0.02590704707732057,1.0,0.0002706060577955572
0.025907306521390804,1.0,0.0002710520483515861
0.025907565970657454,1.0,0.0002714546088326685
0.025907825425120677,1.0,0.0002716273180721465
0.02590808488478063,1.0,0.0002718169179300915
0.025908344349637465,1.0,0.0002726722570482115
0.02590860381969134,1.0,0.0002730505590111476
0.02590912277539084,1.0,0.00027319082236565266
0.025909382261036777,1.0,0.0002733734863697938
0.025909641751880378,1.0,0.0002738418016970813
0.0259099012479218,1.0,0.0002740878114475512
0.0259101607491612,1.0,0.0002743126916569739
0.025910420255598733,1.0,0.00027453740233222574
